"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Total";"Criminal decisions total";137755;143953;154169;160931;160411;162852;157611;154265;145423;144451;157946;176608;169737;163051
"Total";"Criminal code, total";28006;29973;29993;29211;27029;25481;24300;23041;20940;20949;21520;23428;22283;22417
"Total";"Sexual offenses, total";629;663;589;635;582;515;553;573;609;629;1385;1020;996;1029
"Total";"Incest, etc.";28;34;18;19;20;12;16;10;8;9;12;8;17;10
"Total";"Rape, etc";59;55;45;59;48;36;49;66;86;69;74;103;118;125
"Total";"Heterosexual offences with children under 12 years";45;56;60;49;40;3;0;2;0;0;0;0;0;1
"Total";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;19;47;47;42;41;40;56;46;51;32
"Total";"Heterosexual offences, other";124;92;80;101;62;7;2;0;0;0;0;0;0;0
"Total";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;18;66;71;86;62;64;78;72;66;65
"Total";"Sexual offence, other (New from 2013)";0;0;0;0;6;15;21;20;26;30;33;37;12;7
"Total";"Homosexual offences, with children under 12 years";6;3;1;2;1;0;0;0;0;0;0;0;0;0
"Total";"Homosexual offences, other";2;7;5;6;0;0;0;0;0;0;0;0;0;0
"Total";"Offences against decency, by  pawing";100;113;85;95;96;84;105;91;106;109;91;122;127;113
"Total";"Offences against decency, by removing clothes";62;63;59;82;67;83;71;67;60;66;70;108;92;96
"Total";"Offences against decency, other";81;115;107;99;103;88;111;123;124;168;503;250;235;252
"Total";"Prostitution, etc.";122;125;129;123;102;74;60;66;96;74;468;274;278;328
"Total";"Crimes of violence, total";7008;7700;7121;6793;5981;5359;5518;5475;6014;6098;6059;6688;5921;5939
"Total";"Assault against public servant while in discharge of his duties";1186;1456;1346;1348;1259;1210;1318;1320;1562;1614;1578;1796;1629;1668
"Total";"Disturbance of public order";11;84;16;30;10;29;61;70;48;41;78;96;44;96
"Total";"Homicide";31;52;22;30;21;20;30;19;29;27;19;31;27;21
"Total";"Attempted homicide";28;25;26;21;37;23;28;34;33;28;33;31;34;30
"Total";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;1;4;20
"Total";"Common assault";3963;4049;3856;3609;3027;2714;2654;2631;2874;2847;2716;2979;2485;2536
"Total";"Grievous assault";919;913;921;862;806;628;631;651;678;754;833;735;724;679
"Total";"Particularly grievous assault";15;13;12;10;9;5;9;3;3;7;5;2;10;12
"Total";"Assault, unprovoked";0;1;0;0;0;0;0;0;0;0;0;0;0;0
