"Ancestry";"Type of offence";"2000";"2002";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Total";"Criminal decisions total";124659;108320;142821;165749;152891;131368;130903;137753;143953;154169;160931;160411;162852;157611;154265;145423;144451;157946;176608;169737;163051
"Total";"Criminal code, total";31953;31300;32923;33083;30153;24978;25532;28006;29973;29993;29211;27029;25481;24300;23041;20940;20949;21520;23428;22283;22417
"Total";"Sexual offenses, total";523;591;662;752;645;560;559;629;663;589;635;582;515;553;573;609;629;1385;1020;996;1029
"Total";"Incest, etc.";30;34;35;30;28;30;34;28;34;18;19;20;12;16;10;8;9;12;8;17;10
"Total";"Rape, etc";74;66;53;58;55;66;51;59;55;45;59;48;36;49;66;86;69;74;103;118;125
"Total";"Heterosexual offences with children under 12 years";45;55;51;42;54;40;45;45;56;60;49;40;3;0;2;0;0;0;0;0;1
"Total";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;19;47;47;42;41;40;56;46;51;32
"Total";"Heterosexual offences, other";47;51;70;120;101;74;85;124;92;80;101;62;7;2;0;0;0;0;0;0;0
"Total";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;18;66;71;86;62;64;78;72;66;65
"Total";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;6;15;21;20;26;30;33;37;12;7
"Total";"Homosexual offences, with children under 12 years";10;4;9;6;9;6;4;6;3;1;2;1;0;0;0;0;0;0;0;0;0
"Total";"Homosexual offences, other";11;11;12;7;4;4;6;2;7;5;6;0;0;0;0;0;0;0;0;0;0
"Total";"Offences against decency, by  pawing";88;92;107;117;101;94;78;100;113;85;95;96;84;105;91;106;109;91;122;127;113
"Total";"Offences against decency, by removing clothes";72;100;90;105;76;66;48;62;63;59;82;67;83;71;67;60;66;70;108;92;96
"Total";"Offences against decency, other";106;105;121;118;107;103;92;81;115;107;99;103;88;111;123;124;168;503;250;235;252
"Total";"Prostitution, etc.";40;73;114;149;110;77;116;122;125;129;123;102;74;60;66;96;74;468;274;278;328
"Total";"Crimes of violence, total";5896;6539;7480;7804;7726;6866;6879;7008;7700;7121;6793;5981;5359;5518;5475;6014;6098;6059;6688;5921;5939
"Total";"Assault against public servant while in discharge of his duties";828;964;1276;1453;1493;1164;1089;1186;1456;1346;1348;1259;1210;1318;1320;1562;1614;1578;1796;1629;1668
"Total";"Disturbance of public order";5;2;2;1;3;23;21;11;84;16;30;10;29;61;70;48;41;78;96;44;96
"Total";"Homicide";32;28;28;31;27;15;21;31;52;22;30;21;20;30;19;29;27;19;31;27;21
"Total";"Attempted homicide";19;16;11;13;12;15;21;28;25;26;21;37;23;28;34;33;28;33;31;34;30
"Total";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;20
"Total";"Common assault";3599;3926;4334;4327;4279;3990;4022;3963;4049;3856;3609;3027;2714;2654;2631;2874;2847;2716;2979;2485;2536
"Total";"Grievous assault";688;747;867;939;913;829;888;919;913;921;862;806;628;631;651;678;754;833;735;724;679
"Total";"Particularly grievous assault";39;11;36;18;21;18;16;15;13;12;10;9;5;9;3;3;7;5;2;10;12
"Total";"Assault, unprovoked";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Total";"Intentional bodily harm";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Total";"Homicide by negligence/bodily harm";11;13;8;9;12;5;4;6;14;6;13;7;11;10;12;10;11;9;14;10;6
"Total";"Other offences against life and limb";72;71;101;88;87;84;78;85;121;107;84;82;83;75;81;93;106;88;107;136;107
"Total";"Offences against personal liberty";70;101;90;106;75;62;62;68;97;96;115;83;75;87;83;93;75;63;92;95;98
"Total";"Threats";533;660;726;818;803;661;657;696;875;713;671;640;561;615;571;591;588;637;804;723;666
"Total";"Offenses against property, total";24551;22932;23175;22811;20140;16254;16723;18960;20016;20645;20264;18847;18010;16728;15490;12865;12880;12644;13966;13493;13501
"Total";"Forgery";478;500;583;662;524;303;348;333;425;511;401;406;322;309;311;384;244;182;259;241;225
"Total";"Cheque forgery";401;334;274;159;159;48;37;46;53;44;36;8;3;9;4;2;4;3;0;0;0
"Total";"Arson";159;207;166;197;186;141;194;195;187;192;160;146;148;127;125;123;129;124;155;170;118
"Total";"Burglary (banks, shops, etc.)";1149;1106;1156;1066;921;651;685;774;962;914;772;657;554;531;449;409;277;278;346;286;230
"Total";"Household burglary";634;560;564;606;554;487;506;615;689;762;782;645;543;434;429;312;266;279;255;227;210
"Total";"Burglary (uninhabited buildings)";185;179;175;184;153;145;135;155;190;181;173;167;134;104;119;96;68;63;77;84;75
"Total";"Theft from cars, boats, etc.";468;423;410;378;347;266;245;269;245;197;207;150;133;108;101;55;69;79;72;88;82
