"Reported criminal offences";"offence";"region";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Reported criminal offences";"Sexual offenses, total";"Region Hovedstaden";611;797;1823;3302;2684;1583;1628;2110;2259;2267
"Reported criminal offences";"Sexual offenses, total";"Copenhagen";245;342;432;736;1019;551;701;944;788;750
"Reported criminal offences";"Sexual offenses, total";"Frederiksberg";19;35;71;84;142;57;69;60;94;89
"Reported criminal offences";"Sexual offenses, total";"Drag�r";0;5;17;7;8;7;4;24;6;9
"Reported criminal offences";"Sexual offenses, total";"T�rnby";10;40;20;25;94;73;47;26;39;18
"Reported criminal offences";"Sexual offenses, total";"Albertslund";14;13;12;183;36;30;23;38;38;55
"Reported criminal offences";"Sexual offenses, total";"Ballerup";14;20;21;36;35;57;33;42;49;232
"Reported criminal offences";"Sexual offenses, total";"Br�ndby";9;8;542;297;28;32;42;71;87;35
"Reported criminal offences";"Sexual offenses, total";"Gentofte";25;19;18;258;171;39;53;69;61;70
"Reported criminal offences";"Sexual offenses, total";"Gladsaxe";19;17;36;78;37;37;35;44;48;42
"Reported criminal offences";"Sexual offenses, total";"Glostrup";7;7;11;23;21;23;26;16;32;20
"Reported criminal offences";"Sexual offenses, total";"Herlev";11;6;16;27;16;33;13;33;28;25
"Reported criminal offences";"Sexual offenses, total";"Hvidovre";17;16;31;57;37;47;45;41;52;42
"Reported criminal offences";"Sexual offenses, total";"H�je-Taastrup";22;37;36;51;44;33;46;59;384;54
"Reported criminal offences";"Sexual offenses, total";"Ish�j";13;8;19;14;270;29;31;31;25;224
"Reported criminal offences";"Sexual offenses, total";"Lyngby-Taarb�k";26;18;32;245;67;48;63;45;39;46
"Reported criminal offences";"Sexual offenses, total";"R�dovre";8;23;23;34;34;18;20;173;68;39
"Reported criminal offences";"Sexual offenses, total";"Vallensb�k";1;8;4;11;5;12;8;11;7;8
"Reported criminal offences";"Sexual offenses, total";"Aller�d";3;8;12;36;29;28;8;11;16;18
"Reported criminal offences";"Sexual offenses, total";"Egedal";14;22;15;70;47;33;19;22;28;45
"Reported criminal offences";"Sexual offenses, total";"Fredensborg";18;9;24;95;72;29;25;32;34;34
"Reported criminal offences";"Sexual offenses, total";"Frederikssund";13;15;16;38;35;34;42;37;33;55
"Reported criminal offences";"Sexual offenses, total";"Fures�";7;11;139;212;60;18;29;24;19;31
"Reported criminal offences";"Sexual offenses, total";"Gribskov";18;15;19;97;49;72;47;32;51;39
"Reported criminal offences";"Sexual offenses, total";"Halsn�s";1;5;25;49;37;32;20;27;27;59
"Reported criminal offences";"Sexual offenses, total";"Helsing�r";25;24;35;146;91;71;48;42;61;63
"Reported criminal offences";"Sexual offenses, total";"Hiller�d";16;22;27;96;77;39;53;71;55;56
"Reported criminal offences";"Sexual offenses, total";"H�rsholm";3;6;5;27;31;16;14;17;11;15
"Reported criminal offences";"Sexual offenses, total";"Rudersdal";15;9;132;232;68;32;24;30;35;35
"Reported criminal offences";"Sexual offenses, total";"Bornholm";18;29;33;38;24;53;40;38;44;59
"Reported criminal offences";"Sexual offenses, total";"Christians�";0;0;0;0;0;0;0;0;0;0
"Reported criminal offences";"Sexual offenses, total";"Region Sj�lland";546;440;530;755;934;833;896;1041;984;997
"Reported criminal offences";"Sexual offenses, total";"Greve";23;31;23;26;53;25;59;43;32;44
"Reported criminal offences";"Sexual offenses, total";"K�ge";44;17;31;44;37;43;40;59;76;64
"Reported criminal offences";"Sexual offenses, total";"Lejre";14;3;9;11;11;15;24;17;19;13
"Reported criminal offences";"Sexual offenses, total";"Roskilde";50;39;48;150;100;137;71;106;128;74
"Reported criminal offences";"Sexual offenses, total";"Solr�d";5;8;6;8;25;15;16;13;15;16
"Reported criminal offences";"Sexual offenses, total";"Faxe";31;20;19;28;55;23;39;34;37;28
"Reported criminal offences";"Sexual offenses, total";"Guldborgsund";42;28;49;61;89;57;78;76;93;94
"Reported criminal offences";"Sexual offenses, total";"Holb�k";102;38;39;54;85;47;63;62;85;96
"Reported criminal offences";"Sexual offenses, total";"Kalundborg";30;18;32;60;33;61;38;42;55;58
"Reported criminal offences";"Sexual offenses, total";"Lolland";30;42;36;34;72;57;53;51;68;54
"Reported criminal offences";"Sexual offenses, total";"N�stved";41;38;65;54;98;76;107;89;69;75
"Reported criminal offences";"Sexual offenses, total";"Odsherred";15;12;19;34;26;43;58;42;47;63
"Reported criminal offences";"Sexual offenses, total";"Ringsted";15;24;14;24;24;33;27;207;56;24
"Reported criminal offences";"Sexual offenses, total";"Slagelse";44;48;83;69;91;88;98;90;106;207
"Reported criminal offences";"Sexual offenses, total";"Sor�";25;34;9;33;41;53;40;32;20;17
"Reported criminal offences";"Sexual offenses, total";"Stevns";9;9;7;16;23;14;28;9;37;29
"Reported criminal offences";"Sexual offenses, total";"Vordingborg";26;31;41;49;71;46;57;69;41;41
"Reported criminal offences";"Sexual offenses, total";"Region Syddanmark";651;733;861;952;1275;1139;1099;1273;1359;1300
"Reported criminal offences";"Sexual offenses, total";"Assens";29;23;15;21;43;34;37;42;23;40
"Reported criminal offences";"Sexual offenses, total";"Faaborg-Midtfyn";20;20;27;35;28;53;38;40;60;26
"Reported criminal offences";"Sexual offenses, total";"Kerteminde";8;25;5;10;17;8;19;24;15;12
"Reported criminal offences";"Sexual offenses, total";"Langeland";4;6;34;3;3;3;7;7;12;4
"Reported criminal offences";"Sexual offenses, total";"Middelfart";8;16;9;22;79;26;25;52;189;54
"Reported criminal offences";"Sexual offenses, total";"Nordfyns";15;10;10;10;22;8;19;32;27;20
"Reported criminal offences";"Sexual offenses, total";"Nyborg";20;36;19;15;21;30;23;31;17;20
"Reported criminal offences";"Sexual offenses, total";"Odense";125;99;178;149;172;171;189;187;196;178
"Reported criminal offences";"Sexual offenses, total";"Svendborg";16;21;45;58;38;31;38;54;57;70
"Reported criminal offences";"Sexual offenses, total";"�r�";1;2;2;1;3;1;3;4;2;3
"Reported criminal offences";"Sexual offenses, total";"Billund";5;15;20;21;23;24;25;23;22;22
"Reported criminal offences";"Sexual offenses, total";"Esbjerg";99;124;97;140;210;210;121;199;131;162
"Reported criminal offences";"Sexual offenses, total";"Fan�";5;4;15;6;17;3;1;0;0;1
"Reported criminal offences";"Sexual offenses, total";"Fredericia";25;37;49;34;54;42;52;60;61;77
"Reported criminal offences";"Sexual offenses, total";"Haderslev";19;29;34;46;63;55;52;58;91;48
"Reported criminal offences";"Sexual offenses, total";"Kolding";53;45;57;56;98;89;67;67;90;84
"Reported criminal offences";"Sexual offenses, total";"S�nderborg";36;23;49;59;74;67;72;65;92;106
"Reported criminal offences";"Sexual offenses, total";"T�nder";15;29;40;41;42;38;44;45;25;57
"Reported criminal offences";"Sexual offenses, total";"Varde";34;45;26;45;44;59;54;41;47;83
"Reported criminal offences";"Sexual offenses, total";"Vejen";18;54;18;35;81;55;35;39;44;73
"Reported criminal offences";"Sexual offenses, total";"Vejle";44;42;64;77;92;86;106;120;83;110
"Reported criminal offences";"Sexual offenses, total";"Aabenraa";52;28;48;68;51;46;72;83;75;50
"Reported criminal offences";"Sexual offenses, total";"Region Midtjylland";481;580;660;986;1260;1111;1266;1453;1257;961
"Reported criminal offences";"Sexual offenses, total";"Favrskov";25;17;10;20;33;53;271;13;34;29
"Reported criminal offences";"Sexual offenses, total";"Hedensted";15;3;40;32;45;15;26;24;35;35
"Reported criminal offences";"Sexual offenses, total";"Horsens";28;27;30;74;120;92;56;60;70;109
"Reported criminal offences";"Sexual offenses, total";"Norddjurs";11;7;14;19;36;29;23;26;28;29
"Reported criminal offences";"Sexual offenses, total";"Odder";5;5;4;14;10;12;8;17;7;8
"Reported criminal offences";"Sexual offenses, total";"Randers";63;204;39;66;100;78;148;127;83;65
"Reported criminal offences";"Sexual offenses, total";"Sams�";0;0;4;2;2;2;1;2;1;3
"Reported criminal offences";"Sexual offenses, total";"Silkeborg";27;25;34;71;104;76;77;158;73;42
"Reported criminal offences";"Sexual offenses, total";"Skanderborg";20;12;11;26;44;34;19;25;35;26
"Reported criminal offences";"Sexual offenses, total";"Syddjurs";12;11;13;20;53;49;19;21;20;20
"Reported criminal offences";"Sexual offenses, total";"Aarhus";109;126;226;233;305;244;193;274;416;225
"Reported criminal offences";"Sexual offenses, total";"Herning";42;18;50;78;89;51;70;111;80;76
"Reported criminal offences";"Sexual offenses, total";"Holstebro";25;27;24;57;63;83;87;92;95;62
"Reported criminal offences";"Sexual offenses, total";"Ikast-Brande";17;8;19;21;26;36;37;28;34;32
"Reported criminal offences";"Sexual offenses, total";"Lemvig";3;6;7;7;7;14;7;9;12;11
"Reported criminal offences";"Sexual offenses, total";"Ringk�bing-Skjern";13;23;29;23;36;33;54;56;32;46
"Reported criminal offences";"Sexual offenses, total";"Skive";20;20;23;30;52;106;35;37;39;26
"Reported criminal offences";"Sexual offenses, total";"Struer";7;7;13;19;21;40;15;23;24;17
"Reported criminal offences";"Sexual offenses, total";"Viborg";39;34;70;174;114;64;120;350;139;100
"Reported criminal offences";"Sexual offenses, total";"Region Nordjylland";278;236;338;498;712;527;505;492;497;599
"Reported criminal offences";"Sexual offenses, total";"Br�nderslev";9;19;39;25;31;18;38;26;37;34
"Reported criminal offences";"Sexual offenses, total";"Frederikshavn";38;28;35;71;89;46;36;71;55;79
"Reported criminal offences";"Sexual offenses, total";"Hj�rring";29;31;38;63;182;53;51;51;54;75
"Reported criminal offences";"Sexual offenses, total";"Jammerbugt";12;11;35;33;46;18;44;41;34;26
"Reported criminal offences";"Sexual offenses, total";"L�s�";0;1;0;0;0;10;3;0;0;1
"Reported criminal offences";"Sexual offenses, total";"Mariagerfjord";14;7;22;31;21;35;28;43;35;15
"Reported criminal offences";"Sexual offenses, total";"Mors�";10;16;14;16;11;23;16;13;32;19
