"offence";"region";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Nature of the offence, total";"All Denmark";139082;147151;129248;137902;127942;130356;127704;123216;123546;121753;100875;104717;113394;104787
"Nature of the offence, total";"Region Hovedstaden";50946;57442;51849;55260;51606;52649;55122;46855;46235;48975;37627;37261;43775;40832
"Nature of the offence, total";"Copenhagen";24581;27093;25980;26011;25035;26085;28402;22448;22640;25070;17747;18453;22274;20403
"Nature of the offence, total";"Frederiksberg";2303;2762;2609;2519;2459;2357;2109;2208;1800;2128;1842;1739;2278;1959
"Nature of the offence, total";"Drag�r";156;192;200;143;146;172;147;191;142;190;169;142;124;116
"Nature of the offence, total";"T�rnby";1538;1823;1770;2135;1705;2493;2273;2081;2081;1895;942;1167;1397;1471
"Nature of the offence, total";"Albertslund";784;818;736;825;770;703;917;567;605;651;620;475;569;574
"Nature of the offence, total";"Ballerup";1194;1218;1052;1317;1137;1055;1135;1096;1016;1015;823;786;836;864
"Nature of the offence, total";"Br�ndby";748;1030;884;1037;930;875;839;721;896;767;620;761;732;641
"Nature of the offence, total";"Gentofte";1539;1658;1591;1460;1509;1423;1728;1552;1388;1429;1111;1130;1092;1160
"Nature of the offence, total";"Gladsaxe";1323;1264;1271;1356;1325;1574;1332;1109;1247;1127;886;913;1045;1013
"Nature of the offence, total";"Glostrup";603;694;612;715;748;732;845;671;694;681;575;504;539;762
"Nature of the offence, total";"Herlev";697;775;675;826;906;732;667;733;718;891;523;489;520;646
"Nature of the offence, total";"Hvidovre";1228;1140;1222;1487;1330;1165;1197;1162;1154;991;1466;892;1017;888
"Nature of the offence, total";"H�je-Taastrup";1243;1113;1167;1164;1209;1198;1367;1113;1124;1251;1402;945;1153;1005
"Nature of the offence, total";"Ish�j";547;569;497;614;556;551;563;493;511;594;626;406;441;481
"Nature of the offence, total";"Lyngby-Taarb�k";1317;1378;1349;1214;1324;1294;1167;1220;1369;1092;846;966;940;1000
"Nature of the offence, total";"R�dovre";996;1080;927;1091;963;1041;912;924;875;863;871;723;957;757
"Nature of the offence, total";"Vallensb�k";258;327;220;289;261;230;252;235;253;228;203;190;177;218
"Nature of the offence, total";"Aller�d";561;1674;520;1572;1042;1035;1000;590;501;507;233;321;410;336
"Nature of the offence, total";"Egedal";680;661;481;612;429;656;474;460;510;432;402;365;489;448
"Nature of the offence, total";"Fredensborg";683;689;756;738;722;620;585;476;479;459;419;415;473;482
"Nature of the offence, total";"Frederikssund";816;821;715;1123;766;679;783;674;771;779;667;601;661;565
"Nature of the offence, total";"Fures�";940;743;648;691;658;613;752;618;534;462;408;437;544;643
"Nature of the offence, total";"Gribskov";665;740;699;700;803;584;686;625;655;671;594;547;606;570
"Nature of the offence, total";"Halsn�s";714;835;625;650;565;515;543;599;546;492;406;445;432;368
"Nature of the offence, total";"Helsing�r";1834;1657;1773;1972;1358;1378;1389;1460;1123;1293;1032;1018;1346;1129
"Nature of the offence, total";"Hiller�d";979;2650;1131;1043;995;972;988;786;913;920;784;885;1014;831
"Nature of the offence, total";"H�rsholm";481;409;457;438;444;509;529;521;417;731;299;396;529;370
"Nature of the offence, total";"Rudersdal";1054;1183;943;919;998;951;1176;1040;876;1007;764;712;755;762
"Nature of the offence, total";"Bornholm";484;446;339;599;513;456;365;482;397;359;347;438;425;370
"Nature of the offence, total";"Christians�";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Nature of the offence, total";"Region Sj�lland";18511;18443;15546;17456;15725;17765;16020;14731;15494;13906;11732;13848;12042;11176
"Nature of the offence, total";"Greve";1395;1257;1029;1345;999;1008;873;815;900;927;650;738;762;710
"Nature of the offence, total";"K�ge";1625;1669;1179;1570;1235;1115;1252;1162;913;1011;907;938;831;816
"Nature of the offence, total";"Lejre";426;379;318;441;274;296;286;312;421;242;201;199;249;289
"Nature of the offence, total";"Roskilde";1849;1944;1765;1885;1766;1815;1827;1590;1754;1581;1193;1381;1329;1365
"Nature of the offence, total";"Solr�d";453;394;320;426;343;278;306;338;364;313;241;274;282;245
"Nature of the offence, total";"Faxe";759;666;538;589;577;648;523;563;559;452;405;382;619;336
"Nature of the offence, total";"Guldborgsund";1284;1277;1274;1322;1268;1204;1121;1097;1223;1265;833;851;910;865
"Nature of the offence, total";"Holb�k";1333;1520;1285;1299;1144;1241;1231;1241;1146;1100;979;898;887;841
"Nature of the offence, total";"Kalundborg";1062;993;806;921;810;701;780;750;717;880;521;514;610;598
"Nature of the offence, total";"Lolland";1199;1131;903;1208;957;2270;1154;989;1217;1042;639;3054;783;671
"Nature of the offence, total";"N�stved";1634;1758;1408;1566;1631;1454;1668;1329;1926;1255;2088;1039;1269;1013
"Nature of the offence, total";"Odsherred";697;781;620;739;499;532;636;699;631;593;408;445;582;480
"Nature of the offence, total";"Ringsted";742;752;672;680;723;759;656;697;547;518;489;467;454;582
"Nature of the offence, total";"Slagelse";2115;2218;1924;1884;1847;2861;1931;1742;1768;1495;1232;1257;1341;1395
"Nature of the offence, total";"Sor�";680;543;497;507;609;527;681;553;436;429;307;415;303;290
"Nature of the offence, total";"Stevns";288;218;249;279;231;224;221;177;258;175;134;254;246;185
"Nature of the offence, total";"Vordingborg";970;943;759;795;812;832;874;677;714;628;505;742;585;495
"Nature of the offence, total";"Region Syddanmark";27900;28334;24584;25506;23534;22491;20902;21253;21701;20057;17883;17826;18438;17565
"Nature of the offence, total";"Assens";712;568;566;678;534;511;454;439;498;592;598;400;414;390
"Nature of the offence, total";"Faaborg-Midtfyn";730;800;744;580;766;516;592;607;652;467;605;515;518;525
"Nature of the offence, total";"Kerteminde";307;355;366;360;280;264;197;208;293;185;198;289;185;197
"Nature of the offence, total";"Langeland";160;195;202;136;172;140;135;138;179;93;117;138;211;126
"Nature of the offence, total";"Middelfart";921;767;747;624;711;524;498;578;540;551;505;550;451;496
"Nature of the offence, total";"Nordfyns";500;505;434;383;412;294;456;315;433;326;334;309;262;359
