"nan";"offence";"region";"2023"
"Reported criminal offences";"Nature of the offence, total";"All Denmark";477617
"Reported criminal offences";"Nature of the offence, total";"Region Hovedstaden";187474
"Reported criminal offences";"Nature of the offence, total";"Copenhagen";93437
"Reported criminal offences";"Nature of the offence, total";"Frederiksberg";8091
"Reported criminal offences";"Nature of the offence, total";"Dragør";618
"Reported criminal offences";"Nature of the offence, total";"Tårnby";6775
"Reported criminal offences";"Nature of the offence, total";"Albertslund";2572
"Reported criminal offences";"Nature of the offence, total";"Ballerup";4188
"Reported criminal offences";"Nature of the offence, total";"Brøndby";3235
"Reported criminal offences";"Nature of the offence, total";"Gentofte";5137
"Reported criminal offences";"Nature of the offence, total";"Gladsaxe";5571
"Reported criminal offences";"Nature of the offence, total";"Glostrup";2660
"Reported criminal offences";"Nature of the offence, total";"Herlev";3021
"Reported criminal offences";"Nature of the offence, total";"Hvidovre";5041
"Reported criminal offences";"Nature of the offence, total";"Høje-Taastrup";4280
"Reported criminal offences";"Nature of the offence, total";"Ishøj";2197
"Reported criminal offences";"Nature of the offence, total";"Lyngby-Taarbæk";4445
"Reported criminal offences";"Nature of the offence, total";"Rødovre";3484
"Reported criminal offences";"Nature of the offence, total";"Vallensbæk";875
"Reported criminal offences";"Nature of the offence, total";"Allerød";1515
"Reported criminal offences";"Nature of the offence, total";"Egedal";2007
"Reported criminal offences";"Nature of the offence, total";"Fredensborg";2514
"Reported criminal offences";"Nature of the offence, total";"Frederikssund";2605
"Reported criminal offences";"Nature of the offence, total";"Furesø";2517
"Reported criminal offences";"Nature of the offence, total";"Gribskov";2677
"Reported criminal offences";"Nature of the offence, total";"Halsnæs";1804
"Reported criminal offences";"Nature of the offence, total";"Helsingør";5089
"Reported criminal offences";"Nature of the offence, total";"Hillerød";3858
"Reported criminal offences";"Nature of the offence, total";"Hørsholm";1965
"Reported criminal offences";"Nature of the offence, total";"Rudersdal";3546
"Reported criminal offences";"Nature of the offence, total";"Bornholm";1750
"Reported criminal offences";"Nature of the offence, total";"Christiansø";0
"Reported criminal offences";"Nature of the offence, total";"Region Sjælland";51942
"Reported criminal offences";"Nature of the offence, total";"Greve";3027
"Reported criminal offences";"Nature of the offence, total";"Køge";4219
"Reported criminal offences";"Nature of the offence, total";"Lejre";1154
"Reported criminal offences";"Nature of the offence, total";"Roskilde";6467
"Reported criminal offences";"Nature of the offence, total";"Solrød";1134
"Reported criminal offences";"Nature of the offence, total";"Faxe";1656
"Reported criminal offences";"Nature of the offence, total";"Guldborgsund";4006
"Reported criminal offences";"Nature of the offence, total";"Holbæk";4142
"Reported criminal offences";"Nature of the offence, total";"Kalundborg";2650
"Reported criminal offences";"Nature of the offence, total";"Lolland";3008
"Reported criminal offences";"Nature of the offence, total";"Næstved";4808
"Reported criminal offences";"Nature of the offence, total";"Odsherred";2270
"Reported criminal offences";"Nature of the offence, total";"Ringsted";2265
"Reported criminal offences";"Nature of the offence, total";"Slagelse";5937
"Reported criminal offences";"Nature of the offence, total";"Sorø";1705
"Reported criminal offences";"Nature of the offence, total";"Stevns";1018
"Reported criminal offences";"Nature of the offence, total";"Vordingborg";2476
"Reported criminal offences";"Nature of the offence, total";"Region Syddanmark";79006
"Reported criminal offences";"Nature of the offence, total";"Assens";1806
"Reported criminal offences";"Nature of the offence, total";"Faaborg-Midtfyn";2438
"Reported criminal offences";"Nature of the offence, total";"Kerteminde";1241
"Reported criminal offences";"Nature of the offence, total";"Langeland";581
"Reported criminal offences";"Nature of the offence, total";"Middelfart";2225
"Reported criminal offences";"Nature of the offence, total";"Nordfyns";1389
"Reported criminal offences";"Nature of the offence, total";"Nyborg";1853
"Reported criminal offences";"Nature of the offence, total";"Odense";15863
"Reported criminal offences";"Nature of the offence, total";"Svendborg";3500
"Reported criminal offences";"Nature of the offence, total";"Ærø";169
"Reported criminal offences";"Nature of the offence, total";"Billund";2012
"Reported criminal offences";"Nature of the offence, total";"Esbjerg";8239
"Reported criminal offences";"Nature of the offence, total";"Fanø";194
"Reported criminal offences";"Nature of the offence, total";"Fredericia";4814
"Reported criminal offences";"Nature of the offence, total";"Haderslev";3085
"Reported criminal offences";"Nature of the offence, total";"Kolding";6692
"Reported criminal offences";"Nature of the offence, total";"Sønderborg";4670
"Reported criminal offences";"Nature of the offence, total";"Tønder";2291
"Reported criminal offences";"Nature of the offence, total";"Varde";2354
"Reported criminal offences";"Nature of the offence, total";"Vejen";1819
"Reported criminal offences";"Nature of the offence, total";"Vejle";7511
"Reported criminal offences";"Nature of the offence, total";"Aabenraa";4260
"Reported criminal offences";"Nature of the offence, total";"Region Midtjylland";85161
"Reported criminal offences";"Nature of the offence, total";"Favrskov";1929
"Reported criminal offences";"Nature of the offence, total";"Hedensted";2246
"Reported criminal offences";"Nature of the offence, total";"Horsens";6239
"Reported criminal offences";"Nature of the offence, total";"Norddjurs";1975
"Reported criminal offences";"Nature of the offence, total";"Odder";839
"Reported criminal offences";"Nature of the offence, total";"Randers";6416
"Reported criminal offences";"Nature of the offence, total";"Samsø";265
"Reported criminal offences";"Nature of the offence, total";"Silkeborg";4631
"Reported criminal offences";"Nature of the offence, total";"Skanderborg";2406
"Reported criminal offences";"Nature of the offence, total";"Syddjurs";2009
"Reported criminal offences";"Nature of the offence, total";"Århus";31751
"Reported criminal offences";"Nature of the offence, total";"Herning";5655
"Reported criminal offences";"Nature of the offence, total";"Holstebro";3910
"Reported criminal offences";"Nature of the offence, total";"Ikast-Brande";3517
"Reported criminal offences";"Nature of the offence, total";"Lemvig";574
"Reported criminal offences";"Nature of the offence, total";"Ringkøbing-Skjern";2184
"Reported criminal offences";"Nature of the offence, total";"Skive";2225
"Reported criminal offences";"Nature of the offence, total";"Struer";880
"Reported criminal offences";"Nature of the offence, total";"Viborg";5510
