OVERTRÆD;ANMSIGT;TID;INDHOLD
Nature of the offence, total;Reported criminal offences;1996;596190
Nature of the offence, total;Reported criminal offences;1997;595379
Nature of the offence, total;Reported criminal offences;1998;561452
Nature of the offence, total;Reported criminal offences;1999;558207
Nature of the offence, total;Reported criminal offences;2000;570496
Nature of the offence, total;Reported criminal offences;2001;539305
Nature of the offence, total;Reported criminal offences;2002;553659
Nature of the offence, total;Reported criminal offences;2003;552224
Nature of the offence, total;Reported criminal offences;2004;545882
Nature of the offence, total;Reported criminal offences;2005;507936
Nature of the offence, total;Reported criminal offences;2006;506556
Nature of the offence, total;Reported criminal offences;2007;514317
Nature of the offence, total;Reported criminal offences;2008;548169
Nature of the offence, total;Reported criminal offences;2009;562406
Nature of the offence, total;Reported criminal offences;2010;545767
Nature of the offence, total;Reported criminal offences;2011;558061
Nature of the offence, total;Reported criminal offences;2012;531967
Nature of the offence, total;Reported criminal offences;2013;535859
Nature of the offence, total;Reported criminal offences;2014;518963
Nature of the offence, total;Reported criminal offences;2015;501881
Nature of the offence, total;Reported criminal offences;2016;516576
Nature of the offence, total;Reported criminal offences;2017;520270
Nature of the offence, total;Reported criminal offences;2018;507824
Nature of the offence, total;Reported criminal offences;2019;498849
Nature of the offence, total;Reported criminal offences;2020;444428
Nature of the offence, total;Reported criminal offences;2021;413181
Nature of the offence, total;Reported criminal offences;2022;473306
Nature of the offence, total;Reported criminal offences;2023;477617
Nature of the offence, total;Charge;1996;137056
Nature of the offence, total;Charge;1997;131992
Nature of the offence, total;Charge;1998;126905
Nature of the offence, total;Charge;1999;119908
Nature of the offence, total;Charge;2000;120124
Nature of the offence, total;Charge;2001;111504
Nature of the offence, total;Charge;2002;109772
Nature of the offence, total;Charge;2003;113798
Nature of the offence, total;Charge;2004;120710
Nature of the offence, total;Charge;2005;116084
Nature of the offence, total;Charge;2006;113724
Nature of the offence, total;Charge;2007;107127
Nature of the offence, total;Charge;2008;105404
Nature of the offence, total;Charge;2009;106106
Nature of the offence, total;Charge;2010;115539
Nature of the offence, total;Charge;2011;137818
Nature of the offence, total;Charge;2012;136874
Nature of the offence, total;Charge;2013;138729
Nature of the offence, total;Charge;2014;148447
Nature of the offence, total;Charge;2015;145517
Nature of the offence, total;Charge;2016;153556
Nature of the offence, total;Charge;2017;143137
Nature of the offence, total;Charge;2018;158158
Nature of the offence, total;Charge;2019;172605
Nature of the offence, total;Charge;2020;175334
Nature of the offence, total;Charge;2021;155577
Nature of the offence, total;Charge;2022;182114
Nature of the offence, total;Charge;2023;184590
