"sex";"offence";"region";"age";"length";"2020";"2021";"2022";"2023"
"Total";"Nature of the offence, total";"All Denmark";"Age, total";"Up to 14 days";397;342;398;389
"Total";"Nature of the offence, total";"All Denmark";"Age, total";"15 - 21 days";445;396;471;562
"Total";"Nature of the offence, total";"All Denmark";"Age, total";"22 - 30 days";708;657;717;827
"Total";"Nature of the offence, total";"All Denmark";"Age, total";"31 - 60 days";1686;1426;1673;1798
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">2 - 3 months";969;912;899;979
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">3 - 4 months";533;564;530;551
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">4 - 6 months";827;794;838;840
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">6 - 9 months";460;482;386;432
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">9 - 12 months";440;485;398;425
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">12 - 15 months";207;203;184;169
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">15 - 18 months";174;200;156;186
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">18 - 24 months";219;194;185;232
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">2- 3 years";341;297;295;312
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">3 - 4 years";111;115;118;122
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">4 - 5 years";60;74;75;63
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">5 - 6 years";48;55;64;57
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">6 - 8 years";57;49;64;58
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">8 - 12 years";45;48;47;72
"Total";"Nature of the offence, total";"All Denmark";"Age, total";">12 year -";24;42;36;35
"Total";"Nature of the offence, total";"All Denmark";"Age, total";"Imprisonment for life";8;4;16;10
"Total";"Nature of the offence, total";"All Denmark";"Age, total";"Unknown lenght of penalty";29;34;14;17
"Total";"Nature of the offence, total";"All Denmark";"15 years";"Up to 14 days";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"15 years";"15 - 21 days";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"15 years";"22 - 30 days";0;2;3;1
"Total";"Nature of the offence, total";"All Denmark";"15 years";"31 - 60 days";5;3;3;6
"Total";"Nature of the offence, total";"All Denmark";"15 years";">2 - 3 months";3;3;0;2
