"punishment";"offence";"age";"tot";"length";"region";"2023"
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Copenhagen";18
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Frederiksberg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Dragør";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Tårnby";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Albertslund";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Ballerup";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Brøndby";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Gentofte";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Gladsaxe";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Glostrup";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Herlev";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Hvidovre";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Høje-Taastrup";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Ishøj";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Lyngby-Taarbæk";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Rødovre";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Vallensbæk";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Allerød";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Egedal";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Fredensborg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Frederikssund";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Furesø";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Gribskov";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Halsnæs";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Helsingør";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Hillerød";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Hørsholm";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Rudersdal";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Bornholm";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Christiansø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Greve";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Køge";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Lejre";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Roskilde";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Solrød";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Faxe";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Guldborgsund";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Holbæk";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Kalundborg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Lolland";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Næstved";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Odsherred";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Ringsted";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Slagelse";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Sorø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Stevns";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Vordingborg";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Assens";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Faaborg-Midtfyn";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Kerteminde";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Langeland";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Middelfart";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Nordfyns";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Nyborg";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Odense";14
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Svendborg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Ærø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Billund";0
