"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Criminal decisions total"
" ","All Denmark",160411,162852,157611,154265,145423,144451,157946,176608,169737,163051
" ","Region Hovedstaden",48414,52670,49263,45644,43006,43269,49461,54184,54095,52670
" ","Copenhagen",15578,16654,16336,14929,14049,14139,16639,18897,19598,17878
" ","Frederiksberg",2113,2152,2201,2081,1966,1853,2155,2308,2238,2164
" ","Dragør",306,407,368,317,272,251,333,592,456,511
" ","Tårnby",1105,1157,1119,1033,886,887,1078,1383,1257,1231
" ","Albertslund",1075,1108,1007,844,982,893,1012,1135,1074,1163
" ","Ballerup",1363,1437,1258,1068,1081,1067,1248,1306,1270,1271
" ","Brøndby",1266,1384,1380,1132,1222,1245,1366,1518,1562,1576
" ","Gentofte",1919,1845,1893,1947,1716,1760,1754,1898,1914,2136
" ","Gladsaxe",1769,1868,1852,1602,1775,1636,1874,1975,2004,1923
" ","Glostrup",691,748,716,597,617,637,687,787,791,800
" ","Herlev",743,830,756,675,713,746,763,791,829,839
" ","Hvidovre",1719,1862,1521,1339,1421,1289,1421,1684,1616,1540
" ","Høje-Taastrup",1636,1885,1848,1525,1608,1565,1868,2049,2018,1937
" ","Ishøj",873,1016,1004,843,915,872,939,1117,1100,1046
" ","Lyngby-Taarbæk",1144,1152,1441,1163,986,1006,1155,1185,1226,1347
" ","Rødovre",1128,1120,1038,899,1007,992,1174,1330,1226,1230
" ","Vallensbæk",447,484,458,390,490,405,529,577,564,562
" ","Allerød",537,551,526,517,430,481,508,461,475,406
" ","Egedal",1099,1136,1045,997,817,880,1137,1078,996,1008
" ","Fredensborg",1243,1293,1118,1162,938,974,1143,1159,1120,1182
" ","Frederikssund",1362,1444,1198,1275,1083,1254,1525,1434,1381,1407
" ","Furesø",951,1001,934,865,806,754,962,864,898,867
" ","Gribskov",1141,1907,1211,1295,1240,1156,1365,1439,1254,1330
" ","Halsnæs",1051,1079,912,903,777,884,956,1014,1119,989
" ","Helsingør",1746,2269,1686,1884,1673,1831,1747,1952,1919,1887
" ","Hillerød",1417,1694,1201,1204,1114,1234,1267,1386,1368,1530
" ","Hørsholm",665,676,590,673,529,577,579,587,592,647
" ","Rudersdal",1445,1595,1782,1614,1192,1196,1334,1394,1333,1432
" ","Bornholm",882,916,864,871,701,803,941,884,896,831
" ","Christiansø",0,0,0,0,0,2,2,0,1,0
" ","Region Sjælland",26743,27453,24975,24697,21745,22804,24306,27694,25774,25482
" ","Greve",1497,1864,1726,1340,1175,1307,1517,1688,1602,1487
" ","Køge",1808,2034,1807,1659,1557,1537,1682,2061,1954,1866
" ","Lejre",822,805,697,723,541,552,615,680,698,650
" ","Roskilde",2241,2589,2329,2247,1901,1941,1960,2327,2147,1967
" ","Solrød",597,678,622,518,521,487,579,680,642,655
" ","Faxe",1413,1312,1225,1406,1237,1171,1406,1448,1388,1335
" ","Guldborgsund",2408,2141,1995,1966,1797,1917,1915,2045,1893,1877
" ","Holbæk",2047,2137,2095,1795,1623,1629,1837,2195,2059,2103
" ","Kalundborg",1588,1605,1465,1350,1149,1293,1332,1626,1438,1538
" ","Lolland",1707,1687,1440,1490,1454,1483,1525,1581,1252,1417
" ","Næstved",2681,2706,2348,2905,2279,2396,2454,2978,2738,2680
" ","Odsherred",951,999,918,844,707,839,901,1009,947,996
" ","Ringsted",1070,1015,932,911,855,874,983,1097,1099,1129
" ","Slagelse",2480,2525,2311,2319,1977,2314,2453,2740,2444,2389
" ","Sorø",929,1034,928,876,812,955,975,1035,928,939
" ","Stevns",741,798,712,758,647,615,656,779,788,766
" ","Vordingborg",1763,1524,1425,1590,1513,1494,1516,1725,1757,1688
" ","Region Syddanmark",36549,33696,34763,32794,32129,31069,33230,37437,33767,33022
" ","Assens",1081,1116,1136,905,1159,1136,1093,1245,1092,1119
" ","Faaborg-Midtfyn",1440,1334,1288,1277,1188,1263,1245,1429,1200,1234
" ","Kerteminde",705,629,588,522,490,494,504,686,589,550
" ","Langeland",264,288,260,288,329,326,276,361,318,299
" ","Middelfart",1001,1028,1065,902,1133,999,1005,1074,963,965
" ","Nordfyns",793,894,883,906,846,940,878,929,910,852
" ","Nyborg",957,681,745,755,662,678,666,900,814,828
" ","Odense",6081,5761,5812,5065,4862,5028,5115,6013,5360,4937
" ","Svendborg",1539,1453,1399,1190,1342,1364,1341,1575,1329,1424
" ","Ærø",96,97,117,69,141,117,109,88,99,82
" ","Billund",787,722,806,960,718,593,788,861,856,702
" ","Esbjerg",3709,3478,3694,3115,3030,2832,3125,3774,3204,3098
" ","Fanø",47,65,57,52,51,48,60,63,47,51
" ","Fredericia",1625,1430,1437,1602,1669,1384,1722,1831,1553,1494
" ","Haderslev",1934,1925,1839,1662,1534,1642,1703,1778,1635,1679
" ","Kolding",2971,2705,2779,3064,2421,2331,2760,3019,2671,2681
" ","Sønderborg",1850,1634,1837,1552,1600,1790,1859,1840,1864,2056
" ","Tønder",1142,1084,1179,1073,1086,1088,1176,1387,1293,1250
" ","Varde",1483,1246,1365,1320,1379,1316,1413,1540,1402,1356
" ","Vejen",1364,1178,1341,1329,1282,1152,1197,1347,1325,1259
" ","Vejle",3810,3302,3474,3581,3786,3038,3437,3770,3456,3316
" ","Aabenraa",1870,1646,1662,1605,1421,1510,1758,1927,1787,1790
" ","Region Midtjylland",33377,32795,33813,35947,32928,31858,36203,39677,38270,35007
" ","Favrskov",1038,1038,1057,1217,1096,1019,1063,1181,1148,1013
" ","Hedensted",1468,1353,1352,1634,1407,1331,1491,1537,1461,1423
" ","Horsens",2580,2420,2488,2544,2391,2341,2816,2726,2883,2620
" ","Norddjurs",1000,1050,1044,1167,1039,1074,1158,1191,1000,1000
" ","Odder",467,471,499,542,484,428,475,563,466,419
" ","Randers",2756,2753,2722,2709,2775,2323,2694,3229,3145,2949
" ","Samsø",62,76,72,70,78,67,69,80,75,77
" ","Silkeborg",2332,2346,2430,2625,2628,2509,2739,3258,2899,2548
" ","Skanderborg",1391,1208,1419,1430,1383,1165,1550,1426,1340,1124
" ","Syddjurs",949,1003,992,1049,920,1134,1112,1179,1130,1069
" ","Aarhus",8008,7797,7925,8254,7289,7405,8573,9060,9106,8269
" ","Herning",2261,2304,2458,2713,2467,2382,2531,2867,2668,2605
" ","Holstebro",1501,1473,1487,1538,1445,1518,1650,1998,1895,1836
" ","Ikast-Brande",1115,1153,1471,1467,1252,1156,1373,1497,1349,1357
" ","Lemvig",571,542,577,530,527,550,618,672,666,558
" ","Ringkøbing-Skjern",1450,1379,1523,1610,1421,1403,1526,1822,1641,1423
" ","Skive",1356,1238,1213,1323,1315,1212,1384,1597,1593,1386
" ","Struer",509,486,585,537,512,525,611,712,698,621
" ","Viborg",2563,2705,2499,2988,2499,2316,2770,3082,3107,2710
" ","Region Nordjylland",15328,16238,14797,15183,15615,15451,14746,17616,17831,16870
" ","Brønderslev",923,984,855,844,891,966,867,1095,1081,1014
" ","Frederikshavn",1675,1422,1224,1457,1393,1377,1360,1545,1507,1416
