"Age, total";"Total";"All Denmark";"Total";5961249
"Age, total";"Total";"All Denmark";"Denmark";5311255
"Age, total";"Total";"All Denmark";"Albania";755
"Age, total";"Total";"All Denmark";"Andorra";2
"Age, total";"Total";"All Denmark";"Belarus";651
"Age, total";"Total";"All Denmark";"Belgium";1895
"Age, total";"Total";"All Denmark";"Bosnia and Herzegovina";8834
"Age, total";"Total";"All Denmark";"Bulgaria";14017
"Age, total";"Total";"All Denmark";"Cyprus";252
"Age, total";"Total";"All Denmark";"GDR";0
"Age, total";"Total";"All Denmark";"Estonia";1383
"Age, total";"Total";"All Denmark";"Finland";3074
"Age, total";"Total";"All Denmark";"France";9011
"Age, total";"Total";"All Denmark";"Greece";4952
"Age, total";"Total";"All Denmark";"Ireland";3117
"Age, total";"Total";"All Denmark";"Iceland";8847
"Age, total";"Total";"All Denmark";"Italy";16746
"Age, total";"Total";"All Denmark";"Yugoslavia";2691
"Age, total";"Total";"All Denmark";"Yugoslavia, Federal Republic";309
"Age, total";"Total";"All Denmark";"Kosovo";3084
"Age, total";"Total";"All Denmark";"Croatia";3518
"Age, total";"Total";"All Denmark";"Latvia";6248
"Age, total";"Total";"All Denmark";"Liechtenstein";11
"Age, total";"Total";"All Denmark";"Lithuania";15693
"Age, total";"Total";"All Denmark";"Luxembourg";128
"Age, total";"Total";"All Denmark";"Malta";114
"Age, total";"Total";"All Denmark";"Moldova";520
"Age, total";"Total";"All Denmark";"Monaco";0
"Age, total";"Total";"All Denmark";"Montenegro";771
"Age, total";"Total";"All Denmark";"Netherlands";9498
"Age, total";"Total";"All Denmark";"Northern Ireland";0
"Age, total";"Total";"All Denmark";"Republic of North Macedonia";4112
"Age, total";"Total";"All Denmark";"Norway";17297
"Age, total";"Total";"All Denmark";"Poland";48548
"Age, total";"Total";"All Denmark";"Portugal";6955
"Age, total";"Total";"All Denmark";"Romania";45114
"Age, total";"Total";"All Denmark";"Russia";5675
"Age, total";"Total";"All Denmark";"San Marino";1
"Age, total";"Total";"All Denmark";"Switzerland";1752
"Age, total";"Total";"All Denmark";"Serbia";3109
"Age, total";"Total";"All Denmark";"Serbia and Montenegro";243
"Age, total";"Total";"All Denmark";"Slovakia";3369
"Age, total";"Total";"All Denmark";"Slovenia";562
"Age, total";"Total";"All Denmark";"Soviet Union";85
"Age, total";"Total";"All Denmark";"Spain";11360
"Age, total";"Total";"All Denmark";"United Kingdom";17915
"Age, total";"Total";"All Denmark";"Sweden";18648
"Age, total";"Total";"All Denmark";"Czech Republic";2114
"Age, total";"Total";"All Denmark";"Czechoslovakia";98
"Age, total";"Total";"All Denmark";"Turkey";29524
"Age, total";"Total";"All Denmark";"Germany";33277
"Age, total";"Total";"All Denmark";"Ukraine";42761
"Age, total";"Total";"All Denmark";"Hungary";6678
"Age, total";"Total";"All Denmark";"Vatican City State";0
"Age, total";"Total";"All Denmark";"Austria";1755
"Age, total";"Total";"All Denmark";"Europe not stated";3
"Age, total";"Total";"All Denmark";"Algeria";402
"Age, total";"Total";"All Denmark";"Angola";50
"Age, total";"Total";"All Denmark";"Benin";28
"Age, total";"Total";"All Denmark";"Botswana";20
"Age, total";"Total";"All Denmark";"Burkina Faso";29
"Age, total";"Total";"All Denmark";"Burundi";368
"Age, total";"Total";"All Denmark";"Cameroon";933
"Age, total";"Total";"All Denmark";"Central African Republic";22
"Age, total";"Total";"All Denmark";"Comoros";9
"Age, total";"Total";"All Denmark";"Congo, Democratic Republic";2889
"Age, total";"Total";"All Denmark";"Congo, Republic";81
"Age, total";"Total";"All Denmark";"Djibouti";25
"Age, total";"Total";"All Denmark";"Egypt";1173
"Age, total";"Total";"All Denmark";"Ivory Coast";318
"Age, total";"Total";"All Denmark";"Eritrea";8096
"Age, total";"Total";"All Denmark";"Eswantini";9
"Age, total";"Total";"All Denmark";"Ethiopia";809
"Age, total";"Total";"All Denmark";"Gabon";4
"Age, total";"Total";"All Denmark";"Gambia, The";507
"Age, total";"Total";"All Denmark";"Ghana";1724
"Age, total";"Total";"All Denmark";"Guinea";83
"Age, total";"Total";"All Denmark";"Guinea-Bissau";54
"Age, total";"Total";"All Denmark";"Cape Verde";15
"Age, total";"Total";"All Denmark";"Kenya";1008
"Age, total";"Total";"All Denmark";"Lesotho";12
"Age, total";"Total";"All Denmark";"Liberia";109
"Age, total";"Total";"All Denmark";"Libya";102
"Age, total";"Total";"All Denmark";"Madagascar";22
"Age, total";"Total";"All Denmark";"Malawi";30
"Age, total";"Total";"All Denmark";"Mali";28
"Age, total";"Total";"All Denmark";"Morocco";3114
"Age, total";"Total";"All Denmark";"Mauritania";4
"Age, total";"Total";"All Denmark";"Mauritius";55
"Age, total";"Total";"All Denmark";"Mozambique";110
"Age, total";"Total";"All Denmark";"Namibia";49
"Age, total";"Total";"All Denmark";"Niger";10
"Age, total";"Total";"All Denmark";"Nigeria";1535
"Age, total";"Total";"All Denmark";"Reunion";0
"Age, total";"Total";"All Denmark";"Rwanda";289
"Age, total";"Total";"All Denmark";"Sao Tome and Principe";0
"Age, total";"Total";"All Denmark";"Senegal";121
"Age, total";"Total";"All Denmark";"Seychelles";10
"Age, total";"Total";"All Denmark";"Sierra Leone";197
"Age, total";"Total";"All Denmark";"Saint Helena";0
"Age, total";"Total";"All Denmark";"Somalia";7813
"Age, total";"Total";"All Denmark";"Spanish territories in Africa";0
"Age, total";"Total";"All Denmark";"Sudan";711
"Age, total";"Total";"All Denmark";"South Africa";893
"Age, total";"Total";"All Denmark";"South Sudan";74
"Age, total";"Total";"All Denmark";"Southwest Africa";0
"Age, total";"Total";"All Denmark";"Tanzania";680
"Age, total";"Total";"All Denmark";"Chad";8
"Age, total";"Total";"All Denmark";"Togo";76
"Age, total";"Total";"All Denmark";"Tunisia";635
"Age, total";"Total";"All Denmark";"Uganda";1326
"Age, total";"Total";"All Denmark";"Zambia";321
"Age, total";"Total";"All Denmark";"Zimbabwe";155
"Age, total";"Total";"All Denmark";"Equatorial Guinea";2
"Age, total";"Total";"All Denmark";"Africa not stated";9
"Age, total";"Total";"All Denmark";"Canada";2230
"Age, total";"Total";"All Denmark";"USA";9416
"Age, total";"Total";"All Denmark";"North America not stated";0
"Age, total";"Total";"All Denmark";"Antigua and Barbuda";2
"Age, total";"Total";"All Denmark";"Argentina";1874
"Age, total";"Total";"All Denmark";"Aruba";0
"Age, total";"Total";"All Denmark";"Bahamas";10
"Age, total";"Total";"All Denmark";"Barbados";13
"Age, total";"Total";"All Denmark";"Belize";5
"Age, total";"Total";"All Denmark";"Bermuda";0
"Age, total";"Total";"All Denmark";"Bolivia";89
"Age, total";"Total";"All Denmark";"Brazil";3906
"Age, total";"Total";"All Denmark";"British West Indies";0
"Age, total";"Total";"All Denmark";"Chile";1148
"Age, total";"Total";"All Denmark";"Colombia";1143
"Age, total";"Total";"All Denmark";"Costa Rica";106
"Age, total";"Total";"All Denmark";"Cuba";450
"Age, total";"Total";"All Denmark";"Curacao";0
"Age, total";"Total";"All Denmark";"Dominica";9
"Age, total";"Total";"All Denmark";"Dominican Republic";121
"Age, total";"Total";"All Denmark";"Ecuador";238
"Age, total";"Total";"All Denmark";"El Salvador";54
"Age, total";"Total";"All Denmark";"Falkland Islands";0
"Age, total";"Total";"All Denmark";"French Guiana";0
"Age, total";"Total";"All Denmark";"French West Indies";0
"Age, total";"Total";"All Denmark";"Grenada";11
"Age, total";"Total";"All Denmark";"Guadeloupe";0
"Age, total";"Total";"All Denmark";"Guatemala";107
"Age, total";"Total";"All Denmark";"Guyana";14
"Age, total";"Total";"All Denmark";"Haiti";24
"Age, total";"Total";"All Denmark";"Honduras";97
"Age, total";"Total";"All Denmark";"Jamaica";79
"Age, total";"Total";"All Denmark";"Martinique";0
"Age, total";"Total";"All Denmark";"Mexico";1531
"Age, total";"Total";"All Denmark";"Nauru";0
"Age, total";"Total";"All Denmark";"Netherlands Antilles";0
"Age, total";"Total";"All Denmark";"Nicaragua";126
"Age, total";"Total";"All Denmark";"Panama";112
"Age, total";"Total";"All Denmark";"Paraguay";52
"Age, total";"Total";"All Denmark";"Peru";630
"Age, total";"Total";"All Denmark";"Puerto Rico";0
"Age, total";"Total";"All Denmark";"Saint Kitts and Nevis";7
"Age, total";"Total";"All Denmark";"Saint Lucia";6
"Age, total";"Total";"All Denmark";"Saint Vincent and the Grenadines";1
"Age, total";"Total";"All Denmark";"Suriname";1
"Age, total";"Total";"All Denmark";"Trinidad and Tobago";67
"Age, total";"Total";"All Denmark";"Uruguay";73
"Age, total";"Total";"All Denmark";"Venezuela";414
"Age, total";"Total";"All Denmark";"West Indies";0
"Age, total";"Total";"All Denmark";"South and central America not stated";0
"Age, total";"Total";"All Denmark";"Abu Dhabi";0
"Age, total";"Total";"All Denmark";"Afghanistan";10754
"Age, total";"Total";"All Denmark";"Armenia";425
"Age, total";"Total";"All Denmark";"Azerbaijan";317
"Age, total";"Total";"All Denmark";"Bahrain";11
"Age, total";"Total";"All Denmark";"Bangladesh";3752
"Age, total";"Total";"All Denmark";"Bhutan";61
"Age, total";"Total";"All Denmark";"Brunei";1
"Age, total";"Total";"All Denmark";"Cambodia";187
"Age, total";"Total";"All Denmark";"Dubai";0
"Age, total";"Total";"All Denmark";"Philippines";8763
"Age, total";"Total";"All Denmark";"United Arab Emirates";9
"Age, total";"Total";"All Denmark";"Gaza";0
"Age, total";"Total";"All Denmark";"Georgia";197
"Age, total";"Total";"All Denmark";"Hong Kong";0
"Age, total";"Total";"All Denmark";"India";16662
"Age, total";"Total";"All Denmark";"Indochina";0
"Age, total";"Total";"All Denmark";"Indonesia";1187
"Age, total";"Total";"All Denmark";"Iraq";9636
"Age, total";"Total";"All Denmark";"Iran";13543
"Age, total";"Total";"All Denmark";"Israel";666
"Age, total";"Total";"All Denmark";"Japan";1812
"Age, total";"Total";"All Denmark";"Jordan";873
"Age, total";"Total";"All Denmark";"Kazakhstan";207
"Age, total";"Total";"All Denmark";"China";12105
"Age, total";"Total";"All Denmark";"Kyrgyzstan";105
"Age, total";"Total";"All Denmark";"Kuwait";10
"Age, total";"Total";"All Denmark";"Laos";47
"Age, total";"Total";"All Denmark";"Lebanon";1506
"Age, total";"Total";"All Denmark";"Macao";0
"Age, total";"Total";"All Denmark";"Malaysia";510
"Age, total";"Total";"All Denmark";"Maldives";13
"Age, total";"Total";"All Denmark";"Middle East not stated";3
"Age, total";"Total";"All Denmark";"Mongolia";47
"Age, total";"Total";"All Denmark";"Myanmar";2155
"Age, total";"Total";"All Denmark";"Nepal";7133
"Age, total";"Total";"All Denmark";"North Korea";35
"Age, total";"Total";"All Denmark";"North Yemen";0
"Age, total";"Total";"All Denmark";"Oman";2
"Age, total";"Total";"All Denmark";"Pakistan";10141
