"country";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Denmark";5033227;5042685;5048303;5053579;5056810;5062994;5069632;5079788;5089851;5097500;5106209;5118385;5127118;5127773;5128117
"Faroe Islands";10635;10874;11185;11494;11696;11571;11511;11341;11096;10908;10714;10606;10557;10654;10649
"Greenland";14537;14687;14877;15331;15521;15845;16202;16370;16470;16566;16770;16730;16801;17067;17287
"Albania";249;264;274;299;322;349;386;424;488;561;610;642;709;904;1152
"Andorra";0;1;2;1;1;2;2;4;6;6;6;7;11;12;14
"Belarus";617;644;664;663;684;702;743;752;759;810;829;844;898;1009;1064
"Belgium";1685;1755;1805;1914;1954;1991;2064;2244;2313;2394;2457;2488;2644;2830;2941
"Bosnia and Herzegovina";18003;17858;17651;17474;17383;17310;17214;17136;17060;16949;16767;16609;16476;16379;16242
"Bulgaria";2719;3543;4299;5233;6211;7245;8117;8788;9370;9890;10063;10383;11353;12145;12308
"Cyprus";151;155;159;172;189;208;233;250;257;278;290;302;330;356;387
"GDR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";1039;1163;1242;1399;1471;1473;1493;1518;1504;1466;1436;1413;1401;1479;1481
"Finland";3600;3584;3558;3565;3590;3708;3838;3898;4032;4050;4016;3948;3940;3959;3955
"France";5931;6331;6407;6638;6735;6730;7074;7470;7702;8073;8229;8249;8786;9313;9792
"Greece";1386;1477;1678;2011;2325;2561;2834;3131;3381;3653;3811;3915;4215;4652;5048
"Ireland";1353;1411;1461;1532;1552;1615;1760;1785;1957;2180;2077;2016;2148;2358;2547
"Iceland";8381;8397;8064;7863;7618;7685;8029;8246;8284;8365;8506;8450;8464;8569;8819
"Italy";4828;5153;5401;5940;6571;7275;8139;8881;9326;9754;9995;10250;11124;12107;12700
"Yugoslavia";10563;10285;10006;9704;9314;9005;8771;8575;8394;8201;7955;7782;7538;7323;7064
"Yugoslavia, Federal Republic";1479;1452;1405;1341;1220;1169;1126;1089;1059;1040;976;959;906;859;830
"Kosovo";514;682;830;1005;1345;1531;1672;1795;1930;2045;2168;2229;2321;2432;2558
