"sex";"age";"country";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Men";"Age, total";"Total";116275;131829;122699;104041;102727;107650;111611;120253;126624;124122;126005;121223;118869;112555;112883;123128;135465;128597;124120
"Men";"Age, total";"Denmark";101409;115064;105323;89286;87474;90594;93185;100784;104882;102700;103381;98497;96158;89097;87452;94962;103423;96676;93685
"Men";"Age, total";"Belgium";13;15;10;10;20;10;15;14;17;24;18;18;19;14;20;18;30;20;34
"Men";"Age, total";"Bosnia and Herzegovina";582;593;657;501;548;557;594;642;708;672;617;624;589;554;615;644;767;733;634
"Men";"Age, total";"Bulgaria";11;15;56;12;28;51;81;109;164;180;235;232;259;280;281;325;464;470;496
"Men";"Age, total";"Estonia";4;9;7;5;9;11;13;14;20;21;14;17;20;13;16;24;19;19;13
"Men";"Age, total";"Finland";36;51;42;39;31;38;44;35;40;44;32;41;36;27;37;32;36;38;40
"Men";"Age, total";"France";71;86;89;65;92;77;73;78;84;64;87;91;80;76;87;105;109;107;106
"Men";"Age, total";"Greece";30;40;46;20;22;31;29;27;40;34;41;40;46;34;46;66;55;80;79
"Men";"Age, total";"Ireland";26;34;35;33;23;25;26;27;28;23;26;33;27;25;30;31;42;37;40
"Men";"Age, total";"Iceland";152;215;0;144;156;163;169;186;190;166;188;188;169;172;176;184;198;203;196
"Men";"Age, total";"Italy";109;128;156;114;101;118;112;136;126;125;169;169;164;153;179;195;239;256;283
"Men";"Age, total";"Yugoslavia";940;998;947;846;849;876;919;976;1045;906;959;848;800;739;743;806;893;867;751
"Men";"Age, total";"Yugoslavia, Federal Republic";67;87;89;75;65;75;72;81;92;76;73;73;74;80;68;65;69;82;69
"Men";"Age, total";"Croatia";21;35;37;28;21;24;27;34;21;32;36;34;44;42;63;66;79;89;100
"Men";"Age, total";"Latvia";22;30;33;20;29;42;73;86;106;122;131;109;131;103;106;159;157;170;183
"Men";"Age, total";"Lithuania";26;54;61;70;79;107;146;207;266;251;263;273;292;350;443;503;576;605;579
"Men";"Age, total";"Netherlands";128;147;156;97;111;135;139;134;165;147;153;168;170;159;143;153;191;231;193
"Men";"Age, total";"Republic of North Macedonia";140;125;128;149;135;139;147;153;181;178;195;224;198;217;200;251;302;329;319
"Men";"Age, total";"Norway";217;251;248;199;183;166;176;199;177;194;175;200;182;177;147;166;182;174;189
"Men";"Age, total";"Poland";307;337;370;376;463;579;663;787;874;851;970;1043;1037;1080;1225;1289;1522;1518;1494
"Men";"Age, total";"Portugal";14;20;12;21;20;24;21;16;23;26;34;30;30;46;43;52;57;67;78
"Men";"Age, total";"Romania";50;62;268;65;74;136;210;306;421;460;613;725;783;844;1025;1236;1450;1566;1772
"Men";"Age, total";"Russia";50;69;71;61;61;68;92;101;115;124;97;123;115;105;124;138;157;168;134
"Men";"Age, total";"Switzerland";19;24;12;18;13;20;23;29;21;20;14;17;17;21;11;14;11;26;17
"Men";"Age, total";"Serbia and Montenegro";19;30;37;37;48;37;44;41;58;50;48;36;41;43;45;38;57;48;38
"Men";"Age, total";"Soviet Union";33;43;35;28;29;27;28;30;27;28;36;22;25;24;19;25;23;28;25
"Men";"Age, total";"Spain";41;45;55;34;38;42;31;45;60;74;57;56;75;62;72;81;119;123;121
"Men";"Age, total";"United Kingdom";258;352;329;262;246;268;267;288;274;277;285;262;282;260;243;302;334;356;325
"Men";"Age, total";"Sweden";194;265;246;172;145;180;189;194;208;222;195;185;186;176;179;195;240;221;225
"Men";"Age, total";"Czechoslovakia";18;22;16;17;16;19;18;22;16;28;15;25;11;12;17;16;17;12;13
"Men";"Age, total";"Turkey";2907;3155;3281;2803;2840;3194;3484;3475;3940;3709;3919;3708;3476;3499;3693;3931;4596;4288;3890
"Men";"Age, total";"Germany";407;449;408;355;361;362;413;420;434;407;403;405;381;396;402;441;470;492;450
"Men";"Age, total";"Ukraine";59;69;89;126;153;211;184;161;164;162;205;205;177;218;204;258;307;312;318
"Men";"Age, total";"Hungary";39;30;38;32;31;39;48;47;64;59;68;82;88;95;97;86;104;97;110
"Men";"Age, total";"Austria";24;28;24;21;19;20;30;16;22;18;30;28;24;23;19;25;24;16;28
"Men";"Age, total";"Algeria";66;63;75;64;43;55;53;65;61;67;82;74;69;70;62;81;98;93;78
"Men";"Age, total";"Egypt";79;108;103;100;90;111;113;101;104;124;130;118;118;110;116;136;133;134;145
"Men";"Age, total";"Ethiopia";33;46;54;38;36;40;51;45;60;54;62;62;57;82;83;82;90;94;89
"Men";"Age, total";"Ghana";47;67;50;60;51;53;54;64;63;84;75;64;70;82;72;100;89;104;128
"Men";"Age, total";"Kenya";23;27;24;13;25;27;39;33;36;32;40;41;28;34;34;25;37;35;47
"Men";"Age, total";"Morocco";424;467;498;424;452;488;505;535;572;548;597;609;560;582;601;619;775;737;670
"Men";"Age, total";"Nigeria";17;38;48;25;39;34;37;26;45;47;58;61;48;56;57;60;57;53;60
"Men";"Age, total";"Somalia";661;637;653;650;748;788;811;820;973;1002;1074;1057;1033;1141;1295;1406;1473;1467;1445
"Men";"Age, total";"South Africa";20;28;23;9;19;16;18;23;15;21;15;19;17;18;24;17;25;26;35
"Men";"Age, total";"Tanzania";19;32;24;21;20;19;19;23;27;18;24;24;25;21;24;32;29;25;29
"Men";"Age, total";"Tunisia";85;87;71;86;65;69;83;94;95;93;101;97;87;102;103;117;115;116;117
"Men";"Age, total";"Uganda";48;51;52;49;49;58;47;56;69;68;56;67;54;67;66;70;77;69;68
"Men";"Age, total";"Canada";27;38;22;25;17;22;28;21;24;26;29;22;20;21;18;26;23;35;27
"Men";"Age, total";"USA";79;114;119;82;81;90;83;95;106;99;96;103;103;119;112;110;107;137;141
"Men";"Age, total";"Argentina";17;18;21;17;15;10;17;15;9;14;19;23;22;18;25;34;71;106;86
"Men";"Age, total";"Brazil";19;31;27;30;23;35;36;35;40;39;43;35;37;49;44;57;64;53;53
"Men";"Age, total";"Chile";41;55;50;40;30;43;50;47;51;43;41;40;34;43;64;53;56;55;55
"Men";"Age, total";"Afghanistan";262;339;398;379;401;512;500;609;623;690;694;716;751;778;828;917;977;913;908
"Men";"Age, total";"Philippines";50;50;66;38;50;61;44;58;48;49;60;65;55;50;62;60;62;65;80
"Men";"Age, total";"India";118;134;139;114;115;137;150;138;130;138;152;157;147;138;173;200;217;250;239
"Men";"Age, total";"Indonesia";6;8;8;9;6;4;5;8;8;5;9;10;5;10;9;7;11;12;16
"Men";"Age, total";"Iraq";966;1174;1276;1101;1126;1338;1399;1427;1608;1606;1569;1572;1643;1639;1753;1923;2228;2199;1996
"Men";"Age, total";"Iran";758;843;790;680;681;702;805;767;886;844;893;877;868;805;909;961;1081;1069;985
"Men";"Age, total";"Israel";69;71;66;61;59;61;67;65;65;63;61;63;67;62;59;65;80;73;55
"Men";"Age, total";"Japan";7;8;11;3;10;4;7;7;8;6;5;5;7;4;2;10;7;9;8
